Code,Soil Names,% Sand (O,A horizon),% Silt (O,A horizon),% Clay (O,A horizon),Hydro Group
657908,Stough-Savannah-Ochlockonee-Mantachie-Bibb (s33),57.7,30.0,12.3,C
657909,Wynnville-Linker-Gorgas (s34),43.6,39.6,16.8,C
657910,Nauvoo-Linker-Hanceville-Gorgas-Congaree (s35),65.8,19.7,14.6,B
657911,Minvale-Fullerton-Decatur-Bodine (s36),32.8,45.0,22.1,B
657912,Taft-Etowah-Colbert-Chenneby (s37),16.5,55.3,28.2,C
657913,Townley-Montevallo-Hartsells-Gorgas (s38),46.3,37.6,16.1,C
657914,Shack-Minvale-Lyerly-Colbert-Chenneby (s39),27.8,47.0,25.3,B
657915,Saffell-Bodine (s4),43.3,41.2,15.6,B
657916,Minvale-Fullerton-Bodine (s40),31.7,49.8,18.5,B
657917,Wickham-McQueen-Choccolocco-Chewacla (s41),42.8,40.9,16.2,C
657918,Townley-Rock outcrop-Hartsells-Gorgas (s42),54.4,23.1,12.5,B
657919,Stemley-Ennis-Chewacla (s43),40.0,44.0,16.0,C
657920,Gaylesville-Ellisville-Cloudland-Chewacla-Cedarbluff-Bomar (s44),32.1,48.9,19.0,C
657921,Leesburg-Holston-Cloudland (s45),60.2,25.9,13.9,B
657922,Dewey-Allen (s46),50.0,29.3,20.8,B
657923,Minvale-Fullerton-Bodine (s47),26.1,49.9,24.0,B
657924,Montevallo-Leesburg-Firestone (s48),41.2,29.4,15.1,D
657925,Minvale-Dewey-Bodine (s49),33.3,43.1,23.6,B
657926,Lobelville-Etowah-Ennis-Egam-Chenneby (s5),20.6,58.0,21.5,C
657927,Montevallo-Firestone-Conasauga (s50),39.3,38.0,15.6,C
657928,Leesburg-Allen (s51),45.4,38.4,16.2,B
657929,Montevallo-Firestone-Conasauga-Chewacla (s52),28.1,51.8,20.1,C
657930,Townley-Rock outcrop-Nella-Hartsells-Allen (s53),48.7,23.1,13.9,B
657931,Wynnville-Hartsells-Albertville (s54),60.3,26.3,13.4,C
657932,Minvale-Lobelville-Fullerton (s55),28.8,51.6,19.6,B
657933,Rock outcrop-Hartsells-Gorgas-Allen (s56),42.5,26.5,11.0,D
657934,Rock outcrop-Remlap-Barfield (s57),15.4,46.3,25.8,D
657935,Minvale-Fullerton-Bodine (s58),33.1,45.4,21.4,B
657936,Townley-Nauvoo-Montevallo-Albertville (s59),34.8,40.4,18.5,B
657937,Emory-Decatur (s6),14.2,61.3,24.5,B
657938,Townley-Nauvoo-Montevallo (s60),37.5,44.0,18.5,D
657939,Palmerdale (s61),22.4,49.7,27.9,B
657940,Urban land-Townley-Holston-Albertville (s62),41.4,33.9,16.3,B
657941,Sullivan-Etowah-Decatur (s63),26.8,49.6,23.6,B
657942,Urban land-Tupelo-Decatur (s64),22.5,40.3,20.6,
657943,Fullerton-Bodine-Birmingham (s65),40.7,41.5,17.9,B
657944,Leesburg-Gorgas-Allen (s66),49.5,34.1,16.4,B
657945,Sullivan-State-Ketona-Decatur-Bodine (s67),36.2,43.8,20.0,B
657946,Wynnville-Townley-Sipsey (s68),47.0,37.6,15.4,C
657947,Townley-Stemley-Minvale-Bodine (s69),35.9,48.0,16.1,B
657948,Fullerton-Emory-Decatur (s7),16.5,60.8,22.7,B
657949,Nella-Minvale-Fullerton-Dewey-Allen (s70),41.6,33.9,19.5,B
